{'0': 0.6555305343766258, '1': 0.9619722015175047, '2': 0.8528592101898158}
{'0': -6.6810361754056276, '1': -9.189432410596506, '2': -11.096375430875021}
{'0': -6.681049075594322, '1': -9.189445103692439, '2': -11.09638783789496}
{'0': -6.681061280847322, '1': -9.189457113008805, '2': -11.096399576546306}
{'0': -6.68107282860095, '1': -9.189468475380945, '2': -11.0964106828342}
{'0': -6.681083754274828, '1': -9.18947922565987, '2': -11.096421190824188}
{'0': -6.68109409138051, '1': -9.18948939681916, '2': -11.096431132746696}
{'0': -6.681103871624283, '1': -9.189499020056108, '2': -11.096440539095891}
{'0': -6.6811131250044085, '1': -9.189508124887395, '2': -11.09644943872321}
{'0': -6.681121879903133, '1': -9.189516739239636, '2': -11.096457858925863}
{'0': -6.681130163173746, '1': -9.189524889535033, '2': -11.096465825530546}
{'0': -6.681138000222947, '1': -9.189532600772418, '2': -11.096473362972674}
{'0': -6.681145415088772, '1': -9.189539896603934, '2': -11.096480494371317}
{'0': -6.681152430514321, '1': -9.189546799407577, '2': -11.096487241600116}
{'0': -6.68115906801752, '1': -9.189553330355832, '2': -11.096493625354377}
{'0': -6.681165347957121, '1': -9.189559509480627, '2': -11.096499665214544}
{'0': -6.681171289595145, '1': -9.189565355734757, '2': -11.096505379706262}
{'0': -6.681176911155963, '1': -9.189570887050031, '2': -11.09651078635719}
{'0': -6.681182229882198, '1': -9.189576120392267, '2': -11.096515901750774}
{'0': -6.681187262087611, '1': -9.189581071813333, '2': -11.096520741577102}
{'0': -6.681192023207129, '1': -9.189585756500373, '2': -11.096525320681035}
{'0': -6.681196527844206, '1': -9.189590188822404, '2': -11.096529653107744}
{'0': -6.681200789815601, '1': -9.189594382374379, '2': -11.096533752145778}
{'0': -6.681204822193762, '1': -9.189598350018887, '2': -11.096537630367827}
{'0': -6.68120863734692, '1': -9.189602103925608, '2': -11.096541299669294}
{'0': -6.681212246977029, '1': -9.189605655608638, '2': -11.096544771304773}
{'0': -6.681215662155656, '1': -9.189609015961807, '2': -11.096548055922568}
{'0': -6.681218893357944, '1': -9.189612195292092, '2': -11.096551163597358}
{'0': -6.681221950494731, '1': -9.18961520335123, '2': -11.096554103861099}
{'0': -6.681224842942958, '1': -9.189618049365635, '2': -11.096556885732255}
{'0': -6.681227579574433, '1': -9.189620742064685, '2': -11.096559517743467}
{'0': -6.681230168783032, '1': -9.189623289707509, '2': -11.09656200796772}
{'0': -6.6812326185104585, '1': -9.189625700108316, '2': -11.096564364043102}
{'0': -6.681234936270589, '1': -9.189627980660358, '2': -11.096566593196243}
{'0': -6.681237129172525, '1': -9.189630138358613, '2': -11.096568702264467}
{'0': -6.681239203942403, '1': -9.189632179821242, '2': -11.096570697716771}
{'0': -6.681241166944022, '1': -9.189634111309879, '2': -11.09657258567367}
{'0': -6.681243024198361, '1': -9.189635938748843, '2': -11.09657437192596}
{'0': -6.681244781402044, '1': -9.189637667743314, '2': -11.09657606195249}
{'0': -6.6812464439448185, '1': -9.189639303596511, '2': -11.096577660936958}
{'0': -6.681248016926088, '1': -9.189640851325978, '2': -11.09657917378382}
{'0': -6.681249505170548, '1': -9.189642315678954, '2': -11.096580605133324}
{'0': -6.681250913242988, '1': -9.189643701146949, '2': -11.09658195937575}
{'0': -6.68125224546229, '1': -9.189645011979511, '2': -11.096583240664872}
{'0': -6.681253505914677, '1': -9.189646252197265, '2': -11.096584452930697}
{'0': -6.681254698466245, '1': -9.189647425604246, '2': -11.096585599891524}
{'0': -6.681255826774828, '1': -9.189648535799563, '2': -11.096586685065347}
{'0': -6.681256894301205, '1': -9.189649586188441, '2': -11.096587711780643}
{'0': -6.681257904319728, '1': -9.189650579992664, '2': -11.096588683186585}
